"","promoter_tssName","promoter_seqnames","promoter_start","promoter_end","promoter_width","promoter_strand","promoter_name","hg19_seqnames","hg19_start","hg19_end","hg19_width","hg19_strand","hg19_tx_name","hg19_gene","chrom","start","end","strand","gene","promoter_fullname"
"1","chr1_22800239_22800240","chr1",22799239,22801239,2001,"+","chr1.22799239.22801239","chr1",22778343,22857647,79305,"+","NM_001330398.2","ZBTB40","chr1",22800239,22800240,"+","EPHB2","chr1_22800239_22800240_EPHB2"
"2","chr12_25225772_25225773","chr12",25224772,25226772,2001,"+","chr12.25224772.25226772","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25225772,25225773,"+","KRAS","chr12_25225772_25225773_KRAS"
"3","chr12_25227996_25227997","chr12",25226996,25228996,2001,"+","chr12.25226996.25228996","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25227996,25227997,"+","KRAS","chr12_25227996_25227997_KRAS"
"4","chr12_25245584_25245585","chr12",25244584,25246584,2001,"+","chr12.25244584.25246584","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25245584,25245585,"+","KRAS","chr12_25245584_25245585_KRAS"
"5","chr12_25250443_25250444","chr12",25249443,25251443,2001,"+","chr12.25249443.25251443","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250443,25250444,"+","KRAS","chr12_25250443_25250444_KRAS"
"6","chr12_25250898_25250899","chr12",25249898,25251898,2001,"+","chr12.25249898.25251898","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250898,25250899,"+","KRAS","chr12_25250898_25250899_KRAS"
"7","chr12_25250907_25250908","chr12",25249907,25251907,2001,"+","chr12.25249907.25251907","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250907,25250908,"+","KRAS","chr12_25250907_25250908_KRAS"
"8","chr12_25250916_25250917","chr12",25249916,25251916,2001,"+","chr12.25249916.25251916","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250916,25250917,"+","KRAS","chr12_25250916_25250917_KRAS"
"9","chr12_25250926_25250927","chr12",25249926,25251926,2001,"+","chr12.25249926.25251926","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250926,25250927,"+","KRAS","chr12_25250926_25250927_KRAS"
"10","chr12_25250928_25250929","chr12",25249928,25251928,2001,"+","chr12.25249928.25251928","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250928,25250929,"+","KRAS","chr12_25250928_25250929_KRAS"
"11","chr12_25250934_25250935","chr12",25249934,25251934,2001,"+","chr12.25249934.25251934","chr12",25150508,25261269,110762,"+","NM_001394803.1","IRAG2","chr12",25250934,25250935,"+","KRAS","chr12_25250934_25250935_KRAS"
