"","promoter_tssName","promoter_seqnames","promoter_start","promoter_end","promoter_width","promoter_strand","promoter_name","hg19_seqnames","hg19_start","hg19_end","hg19_width","hg19_strand","hg19_tx_name","hg19_gene","chrom","start","end","strand","gene","promoter_fullname"
"1","chr1_119808804_119808805","chr1",119807804,119809804,2001,"+","chr1.119807804.119809804","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119808804,119808805,"+","REG4","chr1_119808804_119808805_REG4"
"2","chr1_119811459_119811460","chr1",119810459,119812459,2001,"+","chr1.119810459.119812459","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811459,119811460,"+","REG4","chr1_119811459_119811460_REG4"
"3","chr1_119811465_119811466","chr1",119810465,119812465,2001,"+","chr1.119810465.119812465","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811465,119811466,"+","REG4","chr1_119811465_119811466_REG4"
"4","chr1_119811579_119811580","chr1",119810579,119812579,2001,"+","chr1.119810579.119812579","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811579,119811580,"+","REG4","chr1_119811579_119811580_REG4"
"5","chr1_26752951_26752952","chr1",26751951,26753951,2001,"+","chr1.26751951.26753951","chr1",26737307,26756219,18913,"+","NM_024674.6","LIN28A","chr1",26752951,26752952,"+","ARID1A","chr1_26752951_26752952_ARID1A"
"6","chr1_26764264_26764265","chr1",26763264,26765264,2001,"+","chr1.26763264.26765264","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26764264,26764265,"+","ARID1A","chr1_26764264_26764265_ARID1A"
"7","chr1_26766269_26766270","chr1",26765269,26767269,2001,"+","chr1.26765269.26767269","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26766269,26766270,"+","ARID1A","chr1_26766269_26766270_ARID1A"
"8","chr1_26769173_26769174","chr1",26768173,26770173,2001,"+","chr1.26768173.26770173","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26769173,26769174,"+","ARID1A","chr1_26769173_26769174_ARID1A"
"9","chr1_26772962_26772963","chr1",26771962,26773962,2001,"+","chr1.26771962.26773962","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772962,26772963,"+","ARID1A","chr1_26772962_26772963_ARID1A"
"10","chr1_26772963_26772964","chr1",26771963,26773963,2001,"+","chr1.26771963.26773963","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772963,26772964,"+","ARID1A","chr1_26772963_26772964_ARID1A"
"11","chr1_26772966_26772967","chr1",26771966,26773966,2001,"+","chr1.26771966.26773966","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772966,26772967,"+","ARID1A","chr1_26772966_26772967_ARID1A"
"12","chr1_26774869_26774870","chr1",26773869,26775869,2001,"+","chr1.26773869.26775869","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26774869,26774870,"+","ARID1A","chr1_26774869_26774870_ARID1A"
"13","chr1_26778098_26778099","chr1",26777098,26779098,2001,"+","chr1.26777098.26779098","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26778098,26778099,"+","ARID1A","chr1_26778098_26778099_ARID1A"
"14","chr10_88664440_88664441","chr10",88663440,88665440,2001,"+","chr10.88663440.88665440","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664440,88664441,"+","LIPF","chr10_88664440_88664441_LIPF"
"15","chr10_88664441_88664442","chr10",88663441,88665441,2001,"+","chr10.88663441.88665441","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664441,88664442,"+","LIPF","chr10_88664441_88664442_LIPF"
"16","chr10_88664457_88664458","chr10",88663457,88665457,2001,"+","chr10.88663457.88665457","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664457,88664458,"+","LIPF","chr10_88664457_88664458_LIPF"
"17","chr10_88675492_88675493","chr10",88674492,88676492,2001,"+","chr10.88674492.88676492","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88675492,88675493,"+","LIPF","chr10_88675492_88675493_LIPF"
"18","chr12_52241527_52241528","chr12",52240527,52242527,2001,"+","chr12.52240527.52242527","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52241527,52241528,"+","KRT7","chr12_52241527_52241528_KRT7"
"19","chr12_52241544_52241545","chr12",52240544,52242544,2001,"+","chr12.52240544.52242544","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52241544,52241545,"+","KRT7","chr12_52241544_52241545_KRT7"
"20","chr12_52243084_52243085","chr12",52242084,52244084,2001,"+","chr12.52242084.52244084","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52243084,52243085,"+","KRT7","chr12_52243084_52243085_KRT7"
"21","chr12_52244377_52244378","chr12",52243377,52245377,2001,"+","chr12.52243377.52245377","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52244377,52244378,"+","KRT7","chr12_52244377_52244378_KRT7"
"22","chr12_52245438_52245439","chr12",52244438,52246438,2001,"+","chr12.52244438.52246438","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52245438,52245439,"+","KRT7","chr12_52245438_52245439_KRT7"
"23","chr13_113658197_113658198","chr13",113657197,113659197,2001,"+","chr13.113657197.113659197","chr13",113623527,113754056,130530,"+","NM_001112732.3","MCF2L","chr13",113658197,113658198,"+","ATP4B","chr13_113658197_113658198_ATP4B"
"24","chr16_68770947_68770948","chr16",68769947,68771947,2001,"+","chr16.68769947.68771947","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68770947,68770948,"+","CDH1","chr16_68770947_68770948_CDH1"
"25","chr16_68801739_68801740","chr16",68800739,68802739,2001,"+","chr16.68800739.68802739","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68801739,68801740,"+","CDH1","chr16_68801739_68801740_CDH1"
"26","chr16_68808526_68808527","chr16",68807526,68809526,2001,"+","chr16.68807526.68809526","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68808526,68808527,"+","CDH1","chr16_68808526_68808527_CDH1"
"27","chr16_68812082_68812083","chr16",68811082,68813082,2001,"+","chr16.68811082.68813082","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68812082,68812083,"+","CDH1","chr16_68812082_68812083_CDH1"
"28","chr16_68823244_68823245","chr16",68822244,68824244,2001,"+","chr16.68822244.68824244","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68823244,68823245,"+","CDH1","chr16_68823244_68823245_CDH1"
"29","chr17_7675118_7675119","chr17",7674118,7676118,2001,"+","chr17.7674118.7676118","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675118,7675119,"+","TP53","chr17_7675118_7675119_TP53"
"30","chr17_7675492_7675493","chr17",7674492,7676492,2001,"+","chr17.7674492.7676492","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675492,7675493,"+","TP53","chr17_7675492_7675493_TP53"
"31","chr17_7676593_7676594","chr17",7675593,7677593,2001,"+","chr17.7675593.7677593","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7676593,7676594,"+","TP53","chr17_7676593_7676594_TP53"
