"","promoter_tssName","promoter_seqnames","promoter_start","promoter_end","promoter_width","promoter_strand","promoter_name","hg19_seqnames","hg19_start","hg19_end","hg19_width","hg19_strand","hg19_tx_name","hg19_gene","chrom","start","end","strand","gene","promoter_fullname"
"1","chr1_26752951_26752952","chr1",26751951,26753951,2001,"+","chr1.26751951.26753951","chr1",26737307,26756219,18913,"+","NM_024674.6","LIN28A","chr1",26752951,26752952,"+","ARID1A","chr1_26752951_26752952_ARID1A"
"2","chr1_26764264_26764265","chr1",26763264,26765264,2001,"+","chr1.26763264.26765264","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26764264,26764265,"+","ARID1A","chr1_26764264_26764265_ARID1A"
"3","chr1_26766269_26766270","chr1",26765269,26767269,2001,"+","chr1.26765269.26767269","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26766269,26766270,"+","ARID1A","chr1_26766269_26766270_ARID1A"
"4","chr1_26769173_26769174","chr1",26768173,26770173,2001,"+","chr1.26768173.26770173","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26769173,26769174,"+","ARID1A","chr1_26769173_26769174_ARID1A"
"5","chr1_26772962_26772963","chr1",26771962,26773962,2001,"+","chr1.26771962.26773962","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772962,26772963,"+","ARID1A","chr1_26772962_26772963_ARID1A"
"6","chr1_26772963_26772964","chr1",26771963,26773963,2001,"+","chr1.26771963.26773963","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772963,26772964,"+","ARID1A","chr1_26772963_26772964_ARID1A"
"7","chr1_26772966_26772967","chr1",26771966,26773966,2001,"+","chr1.26771966.26773966","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26772966,26772967,"+","ARID1A","chr1_26772966_26772967_ARID1A"
"8","chr1_26774869_26774870","chr1",26773869,26775869,2001,"+","chr1.26773869.26775869","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26774869,26774870,"+","ARID1A","chr1_26774869_26774870_ARID1A"
"9","chr1_26778098_26778099","chr1",26777098,26779098,2001,"+","chr1.26777098.26779098","chr1",26758811,26797797,38987,"+","NM_001243565.2","DHDDS","chr1",26778098,26778099,"+","ARID1A","chr1_26778098_26778099_ARID1A"
"10","chr10_88664440_88664441","chr10",88663440,88665440,2001,"+","chr10.88663440.88665440","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664440,88664441,"+","LIPF","chr10_88664440_88664441_LIPF"
"11","chr10_88664441_88664442","chr10",88663441,88665441,2001,"+","chr10.88663441.88665441","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664441,88664442,"+","LIPF","chr10_88664441_88664442_LIPF"
"12","chr10_88664457_88664458","chr10",88663457,88665457,2001,"+","chr10.88663457.88665457","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88664457,88664458,"+","LIPF","chr10_88664457_88664458_LIPF"
"13","chr10_88675492_88675493","chr10",88674492,88676492,2001,"+","chr10.88674492.88676492","chr10",88516375,88687726,171352,"+","NM_004329.3","BMPR1A","chr10",88675492,88675493,"+","LIPF","chr10_88675492_88675493_LIPF"
"14","chr13_113658197_113658198","chr13",113657197,113659197,2001,"+","chr13.113657197.113659197","chr13",113623527,113754056,130530,"+","NM_001112732.3","MCF2L","chr13",113658197,113658198,"+","ATP4B","chr13_113658197_113658198_ATP4B"
"15","chr16_68770947_68770948","chr16",68769947,68771947,2001,"+","chr16.68769947.68771947","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68770947,68770948,"+","CDH1","chr16_68770947_68770948_CDH1"
"16","chr16_68801739_68801740","chr16",68800739,68802739,2001,"+","chr16.68800739.68802739","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68801739,68801740,"+","CDH1","chr16_68801739_68801740_CDH1"
"17","chr16_68808526_68808527","chr16",68807526,68809526,2001,"+","chr16.68807526.68809526","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68808526,68808527,"+","CDH1","chr16_68808526_68808527_CDH1"
"18","chr16_68812082_68812083","chr16",68811082,68813082,2001,"+","chr16.68811082.68813082","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68812082,68812083,"+","CDH1","chr16_68812082_68812083_CDH1"
"19","chr16_68823244_68823245","chr16",68822244,68824244,2001,"+","chr16.68822244.68824244","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68823244,68823245,"+","CDH1","chr16_68823244_68823245_CDH1"
"20","chr17_7675118_7675119","chr17",7674118,7676118,2001,"+","chr17.7674118.7676118","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675118,7675119,"+","TP53","chr17_7675118_7675119_TP53"
"21","chr17_7675492_7675493","chr17",7674492,7676492,2001,"+","chr17.7674492.7676492","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675492,7675493,"+","TP53","chr17_7675492_7675493_TP53"
"22","chr17_7676593_7676594","chr17",7675593,7677593,2001,"+","chr17.7675593.7677593","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7676593,7676594,"+","TP53","chr17_7676593_7676594_TP53"
"23","chr17_7676776_7676777","chr17",7675776,7677776,2001,"+","chr17.7675776.7677776","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7676776,7676777,"+","TP53","chr17_7676776_7676777_TP53"
"24","chr17_7677438_7677439","chr17",7676438,7678438,2001,"+","chr17.7676438.7678438","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677438,7677439,"+","TP53","chr17_7677438_7677439_TP53"
"25","chr17_7677514_7677515","chr17",7676514,7678514,2001,"+","chr17.7676514.7678514","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677514,7677515,"+","TP53","chr17_7677514_7677515_TP53"
"26","chr17_7677555_7677556","chr17",7676555,7678555,2001,"+","chr17.7676555.7678555","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677555,7677556,"+","TP53","chr17_7677555_7677556_TP53"
"27","chr17_7677561_7677562","chr17",7676561,7678561,2001,"+","chr17.7676561.7678561","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677561,7677562,"+","TP53","chr17_7677561_7677562_TP53"
"28","chr17_7677577_7677578","chr17",7676577,7678577,2001,"+","chr17.7676577.7678577","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677577,7677578,"+","TP53","chr17_7677577_7677578_TP53"
"29","chr17_7686159_7686160","chr17",7685159,7687159,2001,"+","chr17.7685159.7687159","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7686159,7686160,"+","TP53","chr17_7686159_7686160_TP53"
"30","chr17_7686412_7686413","chr17",7685412,7687412,2001,"+","chr17.7685412.7687412","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7686412,7686413,"+","TP53","chr17_7686412_7686413_TP53"
"31","chr17_7687426_7687427","chr17",7686426,7688426,2001,"+","chr17.7686426.7688426","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687426,7687427,"+","TP53","chr17_7687426_7687427_TP53"
"32","chr17_7687480_7687481","chr17",7686480,7688480,2001,"+","chr17.7686480.7688480","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687480,7687481,"+","TP53","chr17_7687480_7687481_TP53"
"33","chr17_7687486_7687487","chr17",7686486,7688486,2001,"+","chr17.7686486.7688486","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687486,7687487,"+","TP53","chr17_7687486_7687487_TP53"
"34","chr17_7687489_7687490","chr17",7686489,7688489,2001,"+","chr17.7686489.7688489","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687489,7687490,"+","TP53","chr17_7687489_7687490_TP53"
"35","chr17_7687490_7687491","chr17",7686490,7688490,2001,"+","chr17.7686490.7688490","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687490,7687491,"+","TP53","chr17_7687490_7687491_TP53"
"36","chr17_7687510_7687511","chr17",7686510,7688510,2001,"+","chr17.7686510.7688510","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687510,7687511,"+","TP53","chr17_7687510_7687511_TP53"
"37","chr17_7687522_7687523","chr17",7686522,7688522,2001,"+","chr17.7686522.7688522","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687522,7687523,"+","TP53","chr17_7687522_7687523_TP53"
