"","promoter_tssName","promoter_seqnames","promoter_start","promoter_end","promoter_width","promoter_strand","promoter_name","hg19_seqnames","hg19_start","hg19_end","hg19_width","hg19_strand","hg19_tx_name","hg19_gene","chrom","start","end","strand","gene","promoter_fullname"
"1","chr16_68770947_68770948","chr16",68769947,68771947,2001,"+","chr16.68769947.68771947","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68770947,68770948,"+","CDH1","chr16_68770947_68770948_CDH1"
"2","chr16_68801739_68801740","chr16",68800739,68802739,2001,"+","chr16.68800739.68802739","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68801739,68801740,"+","CDH1","chr16_68801739_68801740_CDH1"
"3","chr16_68808526_68808527","chr16",68807526,68809526,2001,"+","chr16.68807526.68809526","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68808526,68808527,"+","CDH1","chr16_68808526_68808527_CDH1"
"4","chr16_68812082_68812083","chr16",68811082,68813082,2001,"+","chr16.68811082.68813082","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68812082,68812083,"+","CDH1","chr16_68812082_68812083_CDH1"
"5","chr16_68823244_68823245","chr16",68822244,68824244,2001,"+","chr16.68822244.68824244","chr16",68771194,68869440,98247,"+","NM_001317184.2","CDH1","chr16",68823244,68823245,"+","CDH1","chr16_68823244_68823245_CDH1"
"6","chr17_64370244_64370245","chr17",64369244,64371244,2001,"+","chr17.64369244.64371244","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64370244,64370245,"+","PECAM1","chr17_64370244_64370245_PECAM1"
"7","chr17_64370414_64370415","chr17",64369414,64371414,2001,"+","chr17.64369414.64371414","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64370414,64370415,"+","PECAM1","chr17_64370414_64370415_PECAM1"
"8","chr17_64378866_64378867","chr17",64377866,64379866,2001,"+","chr17.64377866.64379866","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64378866,64378867,"+","PECAM1","chr17_64378866_64378867_PECAM1"
"9","chr17_64378873_64378874","chr17",64377873,64379873,2001,"+","chr17.64377873.64379873","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64378873,64378874,"+","PECAM1","chr17_64378873_64378874_PECAM1"
"10","chr17_64379091_64379092","chr17",64378091,64380091,2001,"+","chr17.64378091.64380091","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64379091,64379092,"+","PECAM1","chr17_64379091_64379092_PECAM1"
"11","chr17_64390591_64390592","chr17",64389591,64391591,2001,"+","chr17.64389591.64391591","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390591,64390592,"+","PECAM1","chr17_64390591_64390592_PECAM1"
"12","chr17_64390674_64390675","chr17",64389674,64391674,2001,"+","chr17.64389674.64391674","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390674,64390675,"+","PECAM1","chr17_64390674_64390675_PECAM1"
"13","chr17_64390684_64390685","chr17",64389684,64391684,2001,"+","chr17.64389684.64391684","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390684,64390685,"+","PECAM1","chr17_64390684_64390685_PECAM1"
"14","chr17_64390842_64390843","chr17",64389842,64391842,2001,"+","chr17.64389842.64391842","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390842,64390843,"+","PECAM1","chr17_64390842_64390843_PECAM1"
"15","chr17_64390859_64390860","chr17",64389859,64391859,2001,"+","chr17.64389859.64391859","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390859,64390860,"+","PECAM1","chr17_64390859_64390860_PECAM1"
"16","chr17_64390860_64390861","chr17",64389860,64391860,2001,"+","chr17.64389860.64391860","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390860,64390861,"+","PECAM1","chr17_64390860_64390861_PECAM1"
"17","chr17_64390861_64390862","chr17",64389861,64391861,2001,"+","chr17.64389861.64391861","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390861,64390862,"+","PECAM1","chr17_64390861_64390862_PECAM1"
"18","chr17_64390862_64390863","chr17",64389862,64391862,2001,"+","chr17.64389862.64391862","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64390862,64390863,"+","PECAM1","chr17_64390862_64390863_PECAM1"
"19","chr17_64391258_64391259","chr17",64390258,64392258,2001,"+","chr17.64390258.64392258","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64391258,64391259,"+","PECAM1","chr17_64391258_64391259_PECAM1"
"20","chr17_64391274_64391275","chr17",64390274,64392274,2001,"+","chr17.64390274.64392274","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64391274,64391275,"+","PECAM1","chr17_64391274_64391275_PECAM1"
"21","chr17_64391290_64391291","chr17",64390290,64392290,2001,"+","chr17.64390290.64392290","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64391290,64391291,"+","PECAM1","chr17_64391290_64391291_PECAM1"
"22","chr17_64393183_64393184","chr17",64392183,64394183,2001,"+","chr17.64392183.64394183","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64393183,64393184,"+","PECAM1","chr17_64393183_64393184_PECAM1"
"23","chr17_64398390_64398391","chr17",64397390,64399390,2001,"+","chr17.64397390.64399390","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64398390,64398391,"+","PECAM1","chr17_64398390_64398391_PECAM1"
"24","chr17_64398397_64398398","chr17",64397397,64399397,2001,"+","chr17.64397397.64399397","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64398397,64398398,"+","PECAM1","chr17_64398397_64398398_PECAM1"
"25","chr17_64413775_64413776","chr17",64412775,64414775,2001,"+","chr17.64412775.64414775","chr17",64298730,64806861,508132,"+","NM_002737.3","PRKCA","chr17",64413775,64413776,"+","PECAM1","chr17_64413775_64413776_PECAM1"
"26","chr17_7675118_7675119","chr17",7674118,7676118,2001,"+","chr17.7674118.7676118","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675118,7675119,"+","TP53","chr17_7675118_7675119_TP53"
"27","chr17_7675492_7675493","chr17",7674492,7676492,2001,"+","chr17.7674492.7676492","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7675492,7675493,"+","TP53","chr17_7675492_7675493_TP53"
"28","chr17_7676593_7676594","chr17",7675593,7677593,2001,"+","chr17.7675593.7677593","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7676593,7676594,"+","TP53","chr17_7676593_7676594_TP53"
"29","chr17_7676776_7676777","chr17",7675776,7677776,2001,"+","chr17.7675776.7677776","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7676776,7676777,"+","TP53","chr17_7676776_7676777_TP53"
"30","chr17_7677438_7677439","chr17",7676438,7678438,2001,"+","chr17.7676438.7678438","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677438,7677439,"+","TP53","chr17_7677438_7677439_TP53"
"31","chr17_7677514_7677515","chr17",7676514,7678514,2001,"+","chr17.7676514.7678514","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677514,7677515,"+","TP53","chr17_7677514_7677515_TP53"
"32","chr17_7677555_7677556","chr17",7676555,7678555,2001,"+","chr17.7676555.7678555","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677555,7677556,"+","TP53","chr17_7677555_7677556_TP53"
"33","chr17_7677561_7677562","chr17",7676561,7678561,2001,"+","chr17.7676561.7678561","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677561,7677562,"+","TP53","chr17_7677561_7677562_TP53"
"34","chr17_7677577_7677578","chr17",7676577,7678577,2001,"+","chr17.7676577.7678577","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7677577,7677578,"+","TP53","chr17_7677577_7677578_TP53"
"35","chr17_7686159_7686160","chr17",7685159,7687159,2001,"+","chr17.7685159.7687159","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7686159,7686160,"+","TP53","chr17_7686159_7686160_TP53"
"36","chr17_7686412_7686413","chr17",7685412,7687412,2001,"+","chr17.7685412.7687412","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7686412,7686413,"+","TP53","chr17_7686412_7686413_TP53"
"37","chr17_7687426_7687427","chr17",7686426,7688426,2001,"+","chr17.7686426.7688426","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687426,7687427,"+","TP53","chr17_7687426_7687427_TP53"
"38","chr17_7687480_7687481","chr17",7686480,7688480,2001,"+","chr17.7686480.7688480","chr17",7621061,7737060,116000,"+","NM_020877.5","DNAH2","chr17",7687480,7687481,"+","TP53","chr17_7687480_7687481_TP53"
