"","promoter_tssName","promoter_seqnames","promoter_start","promoter_end","promoter_width","promoter_strand","promoter_name","hg19_seqnames","hg19_start","hg19_end","hg19_width","hg19_strand","hg19_tx_name","hg19_gene","chrom","start","end","strand","gene","promoter_fullname"
"1","chr1_119808804_119808805","chr1",119807804,119809804,2001,"+","chr1.119807804.119809804","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119808804,119808805,"+","REG4","chr1_119808804_119808805_REG4"
"2","chr1_119811459_119811460","chr1",119810459,119812459,2001,"+","chr1.119810459.119812459","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811459,119811460,"+","REG4","chr1_119811459_119811460_REG4"
"3","chr1_119811465_119811466","chr1",119810465,119812465,2001,"+","chr1.119810465.119812465","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811465,119811466,"+","REG4","chr1_119811465_119811466_REG4"
"4","chr1_119811579_119811580","chr1",119810579,119812579,2001,"+","chr1.119810579.119812579","chr1",119683018,119818596,135579,"+","NR_125975.1","WARS2-AS1","chr1",119811579,119811580,"+","REG4","chr1_119811579_119811580_REG4"
"5","chr12_52241527_52241528","chr12",52240527,52242527,2001,"+","chr12.52240527.52242527","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52241527,52241528,"+","KRT7","chr12_52241527_52241528_KRT7"
"6","chr12_52241544_52241545","chr12",52240544,52242544,2001,"+","chr12.52240544.52242544","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52241544,52241545,"+","KRT7","chr12_52241544_52241545_KRT7"
"7","chr12_52243084_52243085","chr12",52242084,52244084,2001,"+","chr12.52242084.52244084","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52243084,52243085,"+","KRT7","chr12_52243084_52243085_KRT7"
"8","chr12_52244377_52244378","chr12",52243377,52245377,2001,"+","chr12.52243377.52245377","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52244377,52244378,"+","KRT7","chr12_52244377_52244378_KRT7"
"9","chr12_52245438_52245439","chr12",52244438,52246438,2001,"+","chr12.52244438.52246438","chr12",52242006,52246513,4508,"+","NR_135803.1","FIGNL2-DT","chr12",52245438,52245439,"+","KRT7","chr12_52245438_52245439_KRT7"
"10","chr2_112833574_112833575","chr2",112832574,112834574,2001,"+","chr2.112832574.112834574","chr2",112812845,112876891,64047,"+","NM_001329914.2","TMEM87B","chr2",112833574,112833575,"+","IL1B","chr2_112833574_112833575_IL1B"
"11","chr2_112836433_112836434","chr2",112835433,112837433,2001,"+","chr2.112835433.112837433","chr2",112812845,112876891,64047,"+","NM_001329914.2","TMEM87B","chr2",112836433,112836434,"+","IL1B","chr2_112836433_112836434_IL1B"
"12","chr2_112836701_112836702","chr2",112835701,112837701,2001,"+","chr2.112835701.112837701","chr2",112812845,112876891,64047,"+","NM_001329914.2","TMEM87B","chr2",112836701,112836702,"+","IL1B","chr2_112836701_112836702_IL1B"
"13","chr2_112836778_112836779","chr2",112835778,112837778,2001,"+","chr2.112835778.112837778","chr2",112812845,112876891,64047,"+","NM_001329914.2","TMEM87B","chr2",112836778,112836779,"+","IL1B","chr2_112836778_112836779_IL1B"
"14","chr2_112836815_112836816","chr2",112835815,112837815,2001,"+","chr2.112835815.112837815","chr2",112812845,112876891,64047,"+","NM_001329914.2","TMEM87B","chr2",112836815,112836816,"+","IL1B","chr2_112836815_112836816_IL1B"
"15","chr2_227805738_227805739","chr2",227804738,227806738,2001,"+","chr2.227804738.227806738","chr2",227664874,227863926,199053,"+","NM_001349069.2","RHBDD1","chr2",227805738,227805739,"+","CCL20","chr2_227805738_227805739_CCL20"
"16","chr2_227813841_227813842","chr2",227812841,227814841,2001,"+","chr2.227812841.227814841","chr2",227664874,227863926,199053,"+","NM_001349069.2","RHBDD1","chr2",227813841,227813842,"+","CCL20","chr2_227813841_227813842_CCL20"
"17","chr2_227813842_227813843","chr2",227812842,227814842,2001,"+","chr2.227812842.227814842","chr2",227664874,227863926,199053,"+","NM_001349069.2","RHBDD1","chr2",227813842,227813843,"+","CCL20","chr2_227813842_227813843_CCL20"
"18","chr2_227815368_227815369","chr2",227814368,227816368,2001,"+","chr2.227814368.227816368","chr2",227664874,227863926,199053,"+","NM_001349069.2","RHBDD1","chr2",227815368,227815369,"+","CCL20","chr2_227815368_227815369_CCL20"
"19","chr4_87975666_87975667","chr4",87974666,87976666,2001,"+","chr4.87974666.87976666","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975666,87975667,"+","SPP1","chr4_87975666_87975667_SPP1"
"20","chr4_87975693_87975694","chr4",87974693,87976693,2001,"+","chr4.87974693.87976693","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975693,87975694,"+","SPP1","chr4_87975693_87975694_SPP1"
"21","chr4_87975710_87975711","chr4",87974710,87976710,2001,"+","chr4.87974710.87976710","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975710,87975711,"+","SPP1","chr4_87975710_87975711_SPP1"
"22","chr4_87975713_87975714","chr4",87974713,87976713,2001,"+","chr4.87974713.87976713","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975713,87975714,"+","SPP1","chr4_87975713_87975714_SPP1"
"23","chr4_87975714_87975715","chr4",87974714,87976714,2001,"+","chr4.87974714.87976714","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975714,87975715,"+","SPP1","chr4_87975714_87975715_SPP1"
"24","chr4_87975715_87975716","chr4",87974715,87976715,2001,"+","chr4.87974715.87976715","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975715,87975716,"+","SPP1","chr4_87975715_87975716_SPP1"
"25","chr4_87975716_87975717","chr4",87974716,87976716,2001,"+","chr4.87974716.87976716","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975716,87975717,"+","SPP1","chr4_87975716_87975717_SPP1"
"26","chr4_87975806_87975807","chr4",87974806,87976806,2001,"+","chr4.87974806.87976806","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975806,87975807,"+","SPP1","chr4_87975806_87975807_SPP1"
"27","chr4_87975828_87975829","chr4",87974828,87976828,2001,"+","chr4.87974828.87976828","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87975828,87975829,"+","SPP1","chr4_87975828_87975829_SPP1"
"28","chr4_87976597_87976598","chr4",87975597,87977597,2001,"+","chr4.87975597.87977597","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87976597,87976598,"+","SPP1","chr4_87976597_87976598_SPP1"
"29","chr4_87976824_87976825","chr4",87975824,87977824,2001,"+","chr4.87975824.87977824","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87976824,87976825,"+","SPP1","chr4_87976824_87976825_SPP1"
"30","chr4_87976879_87976880","chr4",87975879,87977879,2001,"+","chr4.87975879.87977879","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87976879,87976880,"+","SPP1","chr4_87976879_87976880_SPP1"
"31","chr4_87977003_87977004","chr4",87976003,87978003,2001,"+","chr4.87976003.87978003","chr4",87856162,88062191,206030,"+","NM_001166693.3","AFF1","chr4",87977003,87977004,"+","SPP1","chr4_87977003_87977004_SPP1"
